
id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Shape of You,Ed Sheeran,pop,happy,0.65,96,0.75,0.82,0.58
12,Someone Like You,Adele,pop,sad,0.35,135,0.20,0.56,0.89
13,Blinding Lights,The Weeknd,synth-pop,energetic,0.80,171,0.70,0.74,0.01
14,Despacito,Luis Fonsi,reggaeton,party,0.78,89,0.84,0.85,0.20
15,Vivir Mi Vida,Marc Anthony,salsa,happy,0.88,105,0.91,0.77,0.15
16,Perfect,Ed Sheeran,pop,romantic,0.30,95,0.40,0.60,0.75
17,Bad Guy,Billie Eilish,alternative-pop,dark,0.45,135,0.56,0.70,0.33
18,Uptown Funk,Mark Ronson,funk,party,0.90,115,0.92,0.86,0.05
19,Shallow,Lady Gaga and Bradley Cooper,pop,emotional,0.42,96,0.32,0.57,0.45
20,Levitating,Dua Lipa,dance-pop,happy,0.82,103,0.88,0.80,0.06
21,Yellow,Coldplay,alternative-rock,calm,0.48,88,0.45,0.43,0.35
22,Flowers,Miley Cyrus,pop,confident,0.68,118,0.78,0.71,0.06
23,Rolling in the Deep,Adele,pop-soul,powerful,0.85,105,0.48,0.73,0.13
24,Calm Down,Rema,afrobeats,relaxed,0.65,107,0.74,0.81,0.38
25,Dance Monkey,Tones and I,dance-pop,playful,0.62,98,0.58,0.82,0.69
26,Thinking Out Loud,Ed Sheeran,pop,romantic,0.38,79,0.60,0.78,0.47
27,Havana,Camila Cabello,latin-pop,flirty,0.55,105,0.65,0.76,0.18
28,Sunflower,Post Malone and Swae Lee,hip-hop,relaxed,0.52,90,0.72,0.75,0.55
29,Happy,Pharrell Williams,pop,happy,0.82,160,0.96,0.65,0.22
30,Lovely,Billie Eilish and Khalid,alternative-pop,sad,0.30,115,0.12,0.35,0.93
